"Region","Local Health Area","Year","Gender","Total","LT1"," 1 to 4"," 5 to 9","10 to 14","15 to 19","20 to 24","25 to 29","30 to 34","35 to 39","40 to 44","45 to 49","50 to 54","55 to 59","60 to 64","65 to 69","70 to 74","75 to 79","80 to 84","85 to 89","90+"
"0","British Columbia",2016,"M",2405364,23161,95659,121009,120339,142072,165678,172724,172721,155540,151434,166489,183036,179642,160632,140444,98119,67910,47923,27684,13148
"0","British Columbia",2016,"F",2453886,21780,89314,116336,115578,130226,151321,166106,170570,159216,159556,175677,189313,188521,169971,147533,103522,75070,55991,39574,28711
"0","British Columbia",2016,"T",4859250,44941,184973,237345,235917,272298,316999,338830,343291,314756,310990,342166,372349,368163,330603,287977,201641,142980,103914,67258,41859
"0","British Columbia",2017,"M",2438883,23152,96136,122428,121035,142249,168014,176066,176703,161282,151181,165339,178273,181665,164454,142038,106508,71050,48687,28952,13671
"0","British Columbia",2017,"F",2490501,21929,89416,117225,116959,132618,152834,169249,173407,164406,158999,175257,185426,190072,174987,150274,112931,78094,57092,39966,29360
"0","British Columbia",2017,"T",4929384,45081,185552,239653,237994,274867,320848,345315,350110,325688,310180,340596,363699,371737,339441,292312,219439,149144,105779,68918,43031
"0","British Columbia",2018,"M",2479444,22655,96032,123739,122505,143525,173355,180771,181274,168228,152348,163446,172609,183618,168458,144133,113381,75242,49659,30037,14429
"0","British Columbia",2018,"F",2531032,21692,89247,117594,118781,135219,157362,172170,177182,170396,159302,173533,181012,192084,179591,153738,120920,82151,58448,40476,30134
"0","British Columbia",2018,"T",5010476,44347,185279,241333,241286,278744,330717,352941,358456,338624,311650,336979,353621,375702,348049,297871,234301,157393,108107,70513,44563
"0","British Columbia",2019,"M",2521582,22326,95503,124603,124757,142072,178719,185331,186678,175879,155111,161177,168776,185105,171832,147311,119328,79537,51118,31043,15376
"0","British Columbia",2019,"F",2573214,21113,89144,117760,120514,135689,162683,175284,181949,176831,161128,170593,177994,193823,183083,158594,128173,86971,60029,40989,30870
"0","British Columbia",2019,"T",5094796,43439,184647,242363,245271,277761,341402,360615,368627,352710,316239,331770,346770,378928,354915,305905,247501,166508,111147,72032,46246
"0","British Columbia",2020,"M",2551929,22347,94389,126232,127253,138644,177394,186345,191559,182542,159150,158715,167147,184380,174495,150901,126014,83195,53106,31739,16382
"0","British Columbia",2020,"F",2606799,20787,88756,118328,122329,133759,163516,175338,186578,181923,164961,167761,177453,192945,185891,163458,136340,91325,62053,41646,31652
"0","British Columbia",2020,"T",5158728,43134,183145,244560,249582,272403,340910,361683,378137,364465,324111,326476,344600,377325,360386,314359,262354,174520,115159,73385,48034
"0","British Columbia",2021,"M",2578973,21902,93629,127296,128306,132816,175303,188044,195813,189390,165280,157101,167642,181808,176998,155142,131281,87259,54999,32102,16862
"0","British Columbia",2021,"F",2635832,20751,87765,118915,123105,129160,162885,175507,190267,187248,169520,165746,178588,190706,188420,168808,143147,96027,64776,42292,32199
"0","British Columbia",2021,"T",5214805,42653,181394,246211,251411,261976,338188,363551,386080,376638,334800,322847,346230,372514,365418,323950,274428,183286,119775,74394,49061
"0","British Columbia",2022,"M",2627029,22511,93181,128719,130824,134861,172324,195376,204102,195850,172319,157766,167239,177985,179755,159355,133072,94298,56882,32581,18029
"0","British Columbia",2022,"F",2688535,21355,87438,119778,124999,131253,163902,182458,197521,192447,176168,165997,179003,187558,190816,174198,145962,104401,66617,43068,33596
